cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,links,BG0 0,urban central air heat pump0,-603938.6293004549,,
AC,links,BG0 0,urban central resistive heater0,-8628.1888439537,,
AC,links,BG0 0 H2,H2 Fuel Cell1,1.0237606406020858,0.45964983791709013,0.2578272292848701
AC,links,BG0 0 H2,methanolisation2,-36.5049572596989,-69.82630663772623,-2912178.9744927925
AC,links,BG0 0 battery,battery discharger1,9.66292359373168,4.700337247533875,5.5221953371150825
AC,links,BG0 0 gas,CCGT1,250256.53756537221,276164.1798977749,45672.01478011219
AC,links,BG0 0 gas,OCGT1,1.0891232049206787,0.39158203610199094,0.10214816550810374
AC,links,BG0 0 gas,urban central gas CHP CC1,1.579421044202671,0.9704865775540963,0.22149928847533223
AC,links,BG0 0 gas,urban central gas CHP1,2.197732510774781,1.4139519689200457,0.2661680430989183
AC,links,BG0 0 solid biomass,solid biomass1,2.5254543119649266,1.0936772792459863,0.555833324363633
AC,links,BG0 0 solid biomass,urban central solid biomass CHP CC1,1.720464094274626,1.656757627926975,8.317766036531388
AC,links,BG0 0 solid biomass,urban central solid biomass CHP1,1708705.444003791,1871299.9628554513,2584738.13643896
AC,links,CH0 0,H2 Electrolysis0,-3.0620510804466488,-4.466932702881614,-1816478.813169354
